passenger_id,card_number,passenger_type,age_group,gender,home_stop_id,registration_date,card_status
P000001,UTC-4429-0000001,regular,41_60,F,S0048,2024-04-27,active
P000002,UTC-6585-0000002,student,18_25,M,S0034,2024-01-02,active
P000003,UTC-2565-0000003,regular,18_25,F,S0030,2026-07-10,active
P000004,UTC-3188-0000004,regular,26_40,F,S0042,2020-07-24,active
P000005,UTC-7533-0000005,regular,26_40,F,S0120,2024-09-17,active
P000006,UTC-3256-0000006,student,18_25,F,S0042,2024-07-15,active
P000007,UTC-1370-0000007,regular,60_plus,F,S0080,2019-08-15,active
P000008,UTC-3290-0000008,regular,41_60,M,S0045,2026-05-17,active
P000009,UTC-7312-0000009,regular,26_40,M,S0033,2023-09-21,active
P000010,UTC-1315-0000010,regular,41_60,M,S0040,2022-06-16,active
P000011,UTC-2789-0000011,student,under_18,M,S0035,2022-07-14,active
P000012,UTC-3591-0000012,regular,26_40,F,S0039,2025-08-18,active
P000013,UTC-9686-0000013,regular,18_25,M,S0047,2025-09-27,active
P000014,UTC-7286-0000014,regular,26_40,M,S0074,2025-06-29,active
P000015,UTC-9065-0000015,regular,41_60,F,S0082,2025-12-15,active
P000016,UTC-1877-0000016,senior,60_plus,M,S0029,2025-11-03,active
P000017,UTC-7522-0000017,regular,41_60,F,S0048,2023-04-30,active
P000018,UTC-9184-0000018,regular,26_40,M,S0027,2026-03-15,active
P000019,UTC-1804-0000019,student,18_25,M,S0039,2022-03-03,active
P000020,UTC-6611-0000020,regular,26_40,F,S0039,2024-01-05,active
P000021,UTC-6854-0000021,regular,26_40,F,S0102,2023-04-23,active
P000022,UTC-8895-0000022,regular,18_25,F,S0047,2019-08-30,active
P000023,UTC-7952-0000023,regular,26_40,M,S0042,2026-05-04,active
P000024,UTC-8581-0000024,student,18_25,F,S0083,2020-09-15,active
P000025,UTC-5003-0000025,regular,41_60,M,S0044,2021-03-07,active
P000026,UTC-1816-0000026,regular,18_25,F,S0066,2021-11-22,active
P000027,UTC-5686-0000027,regular,26_40,F,S0029,2020-10-04,active
P000028,UTC-1044-0000028,regular,26_40,M,S0043,2022-10-10,expired
P000029,UTC-5328-0000029,regular,60_plus,F,S0111,2024-10-28,active
P000030,UTC-9672-0000030,student,18_25,F,S0043,2025-06-18,active
P000031,UTC-1703-0000031,disabled,18_25,M,S0077,2026-02-13,active
P000032,UTC-6278-0000032,senior,60_plus,M,S0045,2026-01-07,blocked
P000033,UTC-4780-0000033,regular,60_plus,M,S0031,2023-03-22,active
P000034,UTC-5881-0000034,student,under_18,M,S0048,2020-06-16,active
P000035,UTC-4484-0000035,senior,60_plus,F,S0079,2019-01-16,active
P000036,UTC-6187-0000036,student,18_25,M,S0036,2026-03-12,active
P000037,UTC-7892-0000037,regular,26_40,M,S0045,2026-08-03,active
P000038,UTC-4567-0000038,regular,41_60,M,S0005,2020-03-24,active
P000039,UTC-3371-0000039,regular,26_40,F,S0005,2020-07-13,expired
P000040,UTC-2891-0000040,student,under_18,M,S0083,2026-05-26,active
P000041,UTC-8182-0000041,regular,41_60,F,S0046,2026-06-22,active
P000042,UTC-3377-0000042,regular,26_40,F,S0038,2022-12-18,active
P000043,UTC-6177-0000043,student,18_25,M,S0122,2025-04-18,active
P000044,UTC-9424-0000044,regular,26_40,M,S0031,2023-03-22,active
P000045,UTC-8127-0000045,student,18_25,F,S0125,2026-04-04,active
P000046,UTC-8872-0000046,regular,26_40,M,S0081,2024-01-05,active
P000047,UTC-8328-0000047,regular,41_60,M,S0034,2019-08-22,active
P000048,UTC-2138-0000048,student,18_25,M,S0087,2020-04-23,active
P000049,UTC-7890-0000049,regular,41_60,F,S0087,2021-09-11,active
P000050,UTC-6015-0000050,student,18_25,F,S0036,2025-08-14,active
P000051,UTC-9364-0000051,regular,18_25,F,S0043,2023-12-22,active
P000052,UTC-2284-0000052,senior,60_plus,M,S0036,2026-06-03,active
P000053,UTC-6997-0000053,regular,26_40,M,S0074,2021-11-23,active
P000054,UTC-8310-0000054,student,18_25,F,S0032,2020-05-13,active
P000055,UTC-2977-0000055,regular,41_60,F,S0036,2020-12-05,active
P000056,UTC-3833-0000056,regular,26_40,F,S0034,2019-05-15,active
P000057,UTC-8844-0000057,disabled,26_40,M,S0038,2024-07-13,active
P000058,UTC-3778-0000058,regular,41_60,M,S0043,2024-05-08,active
P000059,UTC-9480-0000059,regular,60_plus,M,S0004,2025-10-04,active
P000060,UTC-6601-0000060,regular,26_40,F,S0056,2020-04-12,active
P000061,UTC-4514-0000061,senior,60_plus,M,S0047,2021-12-24,active
P000062,UTC-5817-0000062,student,18_25,M,S0038,2025-11-10,active
P000063,UTC-4665-0000063,disabled,41_60,M,S0099,2021-04-30,active
P000064,UTC-2014-0000064,regular,41_60,M,S0035,2021-12-12,active
P000065,UTC-2557-0000065,regular,26_40,M,S0076,2026-06-26,active
P000066,UTC-2499-0000066,regular,41_60,F,S0043,2023-05-19,active
P000067,UTC-7167-0000067,regular,18_25,M,S0025,2020-07-31,active
P000068,UTC-7947-0000068,student,18_25,M,S0051,2026-01-15,active
P000069,UTC-1423-0000069,regular,26_40,F,S0084,2020-08-09,active
